"company_name","percent_change","industry"
"Ross Stores","0.1","Retail"
"Honeywell International","0.09","Industrial"
"Boeing","0.07","Industrial"
"Amgen Inc","0.07","Healthcare"
"Zoetis","0.06","Healthcare"
"Procter & Gamble","0.05","Goods"
"Cigna","0.03","Healthcare"
"Mondelez","0.02","Goods"
"ExxonMobil","0.01","Energy"
"U.S. Bancorp","0.01","Financial Services"
"PayPal Holdings Inc","0","Financial Services"
"TotalEnergies","0","Energy"
"Truist Financial","-0.01","Financial Services"
"Ulta Beauty","-0.01","Retail"
"Lockheed Martin Corp","-0.03","Industrial"
"EOG Resources","-0.04","Energy"
"Kimberly-Clark Corp","-0.06","Goods"
"Ford","-0.07","Automotive"
"Northrop Grumman","-0.07","Industrial"
"Starbucks","-0.09","Retail"
"HP Inc","-0.09","Technology"
"PG&E","-0.11","Energy"
"Tyson Foods","-0.12","Goods"
"BMW","-0.12","Automotive"
"Mercedes-Benz","-0.14","Automotive"
"Johnson & Johnson","-0.14","Healthcare"
"Intel Corp","-0.16","Technology"
"Clorox","-0.16","Goods"
"NextEra Energy","-0.17","Energy"
"Best Buy","-0.17","Retail"
"Chevron","-0.18","Energy"
"Rivian Automotive","-0.21","Automotive"
"ConocoPhillips","-0.21","Energy"
"Mazda Motor","-0.21","Automotive"
"Enterprise Products Partners","-0.22","Energy"
"Elevance Health","-0.23","Healthcare"
"PepsiCo","-0.26","Goods"
"CVS Health Corp","-0.26","Healthcare"
"Hershey","-0.27","Goods"
"Merck & Co Inc","-0.29","Healthcare"
"Bath & Body Works","-0.31","Retail"
"Stellantis NV","-0.31","Automotive"
"Occidental Petroleum Corp","-0.31","Energy"
"Centene","-0.32","Healthcare"
"Volkswagen","-0.34","Automotive"
"Schlumberger Ltd","-0.34","Energy"
"Target Corp","-0.35","Retail"
"Bristol-Myers Squibb Co","-0.36","Healthcare"
"Kraft Heinz","-0.37","Goods"
"Kraft Heinz","-0.37","Goods"
"General Mills Inc","-0.38","Goods"
"J.M. Smucker","-0.38","Goods"
"UnitedHealth","-0.4","Healthcare"
"United Parcel Service","-0.42","Industrial"
"Macy's","-0.42","Retail"
"Campbell Soup Co","-0.45","Goods"
"Devon Energy Corp","-0.45","Energy"
"Halliburton Co","-0.46","Energy"
"Tata Motors","-0.51","Automotive"
"Humana","-0.51","Healthcare"
"Pfizer","-0.53","Healthcare"
"Dollar General Corp","-0.54","Retail"
"APA Corp","-0.58","Energy"
"Polar Inc","-0.6","Automotive"
"Suzuki Motor","-0.63","Automotive"
"Nio","-0.64","Automotive"
"Lucid Group","-0.66","Automotive"
"Estee Lauder","-0.68","Goods"
